Id,Name,Description,Brand,Category,Price,Stock
1c7d6b21-fc61-4851-b19f-10a2f9255d1c,iPhone 12,5G smartphone with A14 Bionic chip,Apple,Electronics,799,50
f3e30f03-463c-4b31-bf2f-19a3f5e8c509,Galaxy S21,Ultra 5G smartphone with 108MP camera,Samsung,Electronics,1199,25
a42c90b4-c6a6-4b5d-9fc4-6348ec8a8dd1,MacBook Air,Lightweight laptop with M1 chip and Retina display,Apple,Computers,999,15
2b1bbd5f-96f8-4f31-9b3d-6b6c2ca4eb74,Pavilion,"15.6"" laptop with AMD Ryzen 5 processor",HP,Computers,649,30
7b1b1b3e-3be1-4b2f-95b8-dcc6d75a3f6e,Inspiron,"14"" 2-in-1 laptop with Intel Core i5 processor",Dell,Computers,799,20
31c765b2-cf16-49e7-9438-d3175c8b5f0a,iPad Pro,"11"" tablet with Liquid Retina display and M1 chip",Apple,Electronics,1099,10
0e555c94-8f1a-42e8-b2b8-f0a7d78e1f48,Surface Pro 7,"12.3"" tablet with Intel Core i5 processor and touchscreen",Microsoft,Electronics,899,15
c27f0e32-b1a7-4b93-bd62-0b91e9d8d711,Echo,Smart speaker with Alexa,Amazon,Electronics,99,100
b1ef9f05-7f78-456c-89a7-9b8d91460f14,Nest,Smart speaker and home assistant with Google Assistant,Google,Electronics,99,75
02e72d45-ba7d-4524-9422-1f17dcdf7e57,Versa,Smartwatch with heart rate monitor and GPS,Fitbit,Electronics,199,35
0b2cda74-8654-4dd2-8b5b-7a1f4686b7d6,Watch SE,Smartwatch with Retina display and fitness tracking,Apple,Electronics,279,20
9aa9a0d4-e6d6-4dfe-9d50-2f9b7fcaaf15,Galaxy Watch,Smartwatch with AMOLED display and fitness tracking,Samsung,Electronics,329,15
f5859c3f-1315-460b-9158-6cf77b02198f,WH-1000XM4,Wireless noise-cancelling headphones with Alexa and Google Assistant,Sony,Electronics,349,10
ab9f7c04-9f5f-4c1b-bb19-32c9ba5ec50b,QuietComfort 35 II,Wireless noise-cancelling headphones with Alexa and Google Assistant,Bose,Electronics,299,15
cb3f47e4-5f14-4b21-8722-1c6c511dd942,Air Max 270,Stylish and comfortable running shoes,Nike,Sporting Goods,150,20
74d4cfa5-9f20-4b7b-aa7a-4c2c30d39e9b,Ultraboost,High-performance running shoes with responsive cushioning,Adidas,Sporting Goods,180,15
0b4e7e8c-8aa8-41a4-8e80-b2b24f2b40d2,HeatGear,Moisture-wicking t-shirt for athletic performance,Under Armour,Sporting Goods,30,50
